Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,124,Canada,CAN,01,Animals; live,1,No Quantity,0,0,852119,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,144,Sri Lanka,LKA,01,Animals; live,1,No Quantity,0,0,222121,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,156,China,CHN,01,Animals; live,1,No Quantity,0,0,194545974,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,196,Cyprus,CYP,01,Animals; live,1,No Quantity,0,,2713,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,208,Denmark,DNK,01,Animals; live,1,No Quantity,0,0,2612,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,242,Fiji,FJI,01,Animals; live,1,No Quantity,0,0,16868,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,246,Finland,FIN,01,Animals; live,1,No Quantity,0,0,1642,4
H5,2018,2018,2018,2,0,1,Import,36,Australia,AUS,251,France,FRA,01,Animals; live,1,No Quantity,0,,254130,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,258,French Polynesia,PYF,01,Animals; live,1,No Quantity,0,0,3731,4
H5,2018,2018,2018,2,0,1,Import,36,Australia,AUS,276,Germany,DEU,01,Animals; live,1,No Quantity,0,,1463720,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,276,Germany,DEU,01,Animals; live,1,No Quantity,0,0,1492,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,344,"China, Hong Kong SAR",HKG,01,Animals; live,1,No Quantity,0,0,61725549,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,352,Iceland,ISL,01,Animals; live,1,No Quantity,0,0,1213405,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,360,Indonesia,IDN,01,Animals; live,1,No Quantity,0,0,472189540,4
H5,2018,2018,2018,2,0,1,Import,36,Australia,AUS,372,Ireland,IRL,01,Animals; live,1,No Quantity,0,,990282,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,372,Ireland,IRL,01,Animals; live,1,No Quantity,0,,450052,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,376,Israel,ISR,01,Animals; live,1,No Quantity,0,0,61289912,4
H5,2018,2018,2018,2,0,1,Import,36,Australia,AUS,392,Japan,JPN,01,Animals; live,1,No Quantity,0,,3840445,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,392,Japan,JPN,01,Animals; live,1,No Quantity,0,0,31495899,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,400,Jordan,JOR,01,Animals; live,1,No Quantity,0,0,10395422,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,01,Animals; live,1,No Quantity,0,0,191560,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,414,Kuwait,KWT,01,Animals; live,1,No Quantity,0,0,25833044,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,422,Lebanon,LBN,01,Animals; live,1,No Quantity,0,0,3904,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,442,Luxembourg,LUX,01,Animals; live,1,No Quantity,0,,812204,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,446,"China, Macao SAR",MAC,01,Animals; live,1,No Quantity,0,0,2521441,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,458,Malaysia,MYS,01,Animals; live,1,No Quantity,0,0,34599430,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,490,"Other Asia, nes",,01,Animals; live,1,No Quantity,0,0,3092574,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,512,Oman,OMN,01,Animals; live,1,No Quantity,0,0,4915956,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,524,Nepal,NPL,01,Animals; live,1,No Quantity,0,0,426472,4
H5,2018,2018,2018,2,0,1,Import,36,Australia,AUS,528,Netherlands,NLD,01,Animals; live,1,No Quantity,0,,8552781,4
H5,2018,2018,2018,2,0,2,Export,36,Australia,AUS,528,Netherlands,NLD,01,Animals; live,1,No Quantity,0,,85833,4
